imdb_id,rank_afc_2007,rank_afc_1998,rank_wga_2005,rank_ss_2012,included_in_guardian_list,included_in_1001_book,title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,metascore,imdb_rating,imdb_votes,alternate_title
tt0015648,,,,11,TRUE,TRUE,Battleship Potemkin,1925,UNRATED,24-Dec-25,66 min,"Drama, History, War",Sergei M. Eisenstein,Nina Agadzhanova (script by),"Aleksandr Antonov, Vladimir Barsky, Grigori Aleksandrov, Ivan Bobrov",A dramatized account of a great Russian naval mutiny and a resulting street demonstration which brought on a police massacre.,Russian,Soviet Union,1 win.,http://ia.media-imdb.com/images/M/MV5BMTEyMTQzMjQ0MTJeQTJeQWpwZ15BbWU4MDcyMjg4OTEx._V1_SX300.jpg,N/A,8,"40,253",Battleship Potemkin (Bronenosets Potyomkin)
tt0015624,,,,,,TRUE,The Big Parade,1925,NOT RATED,N/A,151 min,"Drama, Romance, War","King Vidor, George W. Hill","Laurence Stallings (story), Harry Behn (scenario), Joseph Farnham (titles)","John Gilbert, Ren_©e Ador_©e, Hobart Bosworth, Claire McDowell",A young American soldier witnesses the horrors of the Great War.,N/A,USA,3 wins.,http://ia.media-imdb.com/images/M/MV5BNjE0MTg1MDgwNF5BMl5BanBnXkFtZTgwNjQ2ODAyMjE@._V1_SX300.jpg,N/A,8.3,"4,837","Big Parade, The"
tt0016220,,,,,,TRUE,The Phantom of the Opera,1925,UNRATED,15-Nov-25,93 min,"Horror, Romance","Rupert Julian, Lon Chaney, Ernst Laemmle, Edward Sedgwick",Gaston Leroux (from the celebrated novel by),"Lon Chaney, Mary Philbin, Norman Kerry, Arthur Edmund Carewe","A mad, disfigured composer seeks love with a lovely young opera singer.",N/A,USA,2 wins.,http://ia.media-imdb.com/images/M/MV5BNDk4MDM1NTI5MV5BMl5BanBnXkFtZTgwMDkyMDc2MTE@._V1_SX300.jpg,N/A,7.7,"12,306","Phantom of the Opera, The"
tt0017925,18,,,34,,TRUE,The General,1926,UNRATED,24-Feb-27,67 min,"Action, Adventure, Comedy","Clyde Bruckman, Buster Keaton","Buster Keaton, Clyde Bruckman, Al Boasberg (adapted by), Charles Henry Smith (adapted by)","Buster Keaton, Marion Mack, Glen Cavender, Jim Farley","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",English,USA,2 wins & 1 nomination.,"https://images-na.ssl-images-amazon.com/images/M/MV5BODQxMzMyNTY5Nl5BMl5BanBnXkFtZTcwMDMyNTk3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",N/A,8.2,"54,036","General, The"
tt0015532,,,,,,TRUE,The Adventures of Prince Achmed,1926,NOT RATED,20-Jun-29,81 min,"Animation, Adventure, Fantasy","Lotte Reiniger, Carl Koch",N/A,N/A,"A handsome prince rides a flying horse to far-away lands and embarks on magical adventures, which include befriending a witch, meeting Aladdin, battling demons and falling in love with a princess.",N/A,Germany,N/A,http://ia.media-imdb.com/images/M/MV5BMTU3OTIyMDYzNF5BMl5BanBnXkFtZTcwOTA1ODgyMQ@@._V1_SX300.jpg,N/A,7.8,"3,594","Adventures of Prince Achmed, The (Die Abenteuer des Prinzen Achmed)"
tt0018192,,,,,,TRUE,Napoleon,1927,N/A,17-Feb-29,240 min,"Biography, Drama, History",Abel Gance,Abel Gance,"Albert Dieudonn_©, Vladimir Roudenko, Edmond Van Da_«le, Alexandre Koubitzky",A film about the French Field Marshal's youth and early military career.,N/A,France,4 wins.,"https://images-na.ssl-images-amazon.com/images/M/MV5BYmIxZjg5OWItODY3ZS00NjlmLWFiODYtMGM0ZWQ3OTFkNWUyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY268_CR1,0,182,268_AL_.jpg",N/A,7.4,"5,283",Napoleon
tt0018051,,,,,,TRUE,The Kid Brother,1927,NOT RATED,17-Jan-27,82 min,"Comedy, Drama, Family","Ted Wilde, J.A. Howe, Harold Lloyd, Lewis Milestone","John Grey (story), Ted Wilde (story), Thomas J. Crizer (story), John Grey (scenario), Lex Neal (scenario), Howard J. Green (scenario)","Harold Lloyd, Jobyna Ralston, Walter James, Leo Willis",A sheriff's milquetoast son has a chance to prove himself when a medicine show run by con artists comes into town.,English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4NzYzNDk3N15BMl5BanBnXkFtZTgwODYzODYwMjE@._V1_SX300.jpg,N/A,7.6,"2,743","Kid Brother, The"
tt0018528,,,,,,TRUE,The Unknown,1927,UNRATED,4-Jun-27,63 min,"Drama, Horror, Romance",Tod Browning,"Tod Browning (story), Waldemar Young (scenario), Joseph Farnham (titles)","Lon Chaney, Norman Kerry, Joan Crawford, Nick De Ruiz",A criminal on the run hides in a circus and seeks to possess the daughter of the ringmaster at any cost.,English,USA,2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3MjQ0MzYzMF5BMl5BanBnXkFtZTgwNDg1NDM4MTE@._V1_SX300.jpg,N/A,7.9,"5,363","Unknown, The"
tt0018037,,90,,,,TRUE,The Jazz Singer,1927,UNRATED,6-Oct-27,88 min,"Drama, Music, Musical",Alan Crosland,"Samson Raphaelson (play), Alfred A. Cohn (adaptation), Jack Jarmuth (titles)","Al Jolson, May McAvoy, Warner Oland, Eugenie Besserer",The son of a Jewish Cantor must defy the traditions of his religious father in order to pursue his dream of becoming a jazz singer.,English,USA,Nominated for 1 Oscar. Another 2 wins.,http://ia.media-imdb.com/images/M/MV5BMTY2MzM5MjkzMV5BMl5BanBnXkFtZTgwNjg0OTMyMjE@._V1_SX300.jpg,N/A,6.8,"6,819","Jazz Singer, The"
tt0018455,82,,,5,,TRUE,Sunrise,1927,NOT RATED,4-Nov-27,94 min,"Drama, Romance",F.W. Murnau,"Carl Mayer (scenario), Hermann Sudermann (from an original theme by), Katherine Hilliker (titles), H.H. Caldwell (titles)","George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing","A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife.",N/A,USA,Won 3 Oscars. Another 2 wins & 1 nomination.,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzNzg4MzcxNV5BMl5BanBnXkFtZTgwMTgzNTE0MTE@._V1_UX182_CR0,0,182,268_AL_.jpg",N/A,8.3,"29,635",Sunrise: A Song of Two Humans
tt0017136,,,,35,TRUE,TRUE,Metropolis,1927,NOT RATED,13-Mar-27,153 min,"Drama, Sci-Fi",Fritz Lang,"Thea von Harbou (screenplay), Thea von Harbou (novel)","Alfred Abel, Gustav Fr__hlich, Rudolf Klein-Rogge, Fritz Rasp","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",German,Germany,4 wins & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDAzNTkyODg1MF5BMl5BanBnXkFtZTgwMDA3NDkwMDE@._V1_SX300.jpg,98,8.3,"113,363",Metropolis
tt0019421,,,,,,TRUE,"Steamboat Bill, Jr.",1928,NOT RATED,20-May-28,70 min,"Action, Comedy, Drama","Charles Reisner, Buster Keaton",Carl Harbaugh (story),"Buster Keaton, Tom McGuire, Ernest Torrence, Tom Lewis",The effete son of a cantankerous riverboat captain comes to join his father's crew.,English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMjQxODA2M15BMl5BanBnXkFtZTgwMzk4NzM2MzE@._V1_SX300.jpg,N/A,8,"9,551","Steamboat Bill, Jr."
tt0019254,,,,9,TRUE,TRUE,The Passion of Joan of Arc,1928,NOT RATED,25-Oct-28,114 min,"Biography, Drama, History",Carl Theodor Dreyer,"Joseph Delteil, Carl Theodor Dreyer","Maria Falconetti, Eugene Silvain, Andr_© Berley, Maurice Schutz","A chronicle of the trial of Jeanne d'Arc on charges of heresy, and the efforts of her ecclesiastical jurists to force Jeanne to recant her claims of holy visions.",French,France,2 wins.,http://ia.media-imdb.com/images/M/MV5BMjQxMjk5ODUxMl5BMl5BanBnXkFtZTgwNDI2MjUwMzE@._V1_SX300.jpg,N/A,8.4,"25,120","Passion of Joan of Arc, The (La passion de Jeanne d'Arc)"
tt0018839,,,,,,TRUE,The Docks of New York,1928,NOT RATED,29-Sep-28,76 min,"Crime, Drama, Film-Noir",Josef von Sternberg,"Jules Furthman (story and screenplay), Julian Johnson (titles), John Monk Saunders (suggested by ""The Dock Walloper"")","George Bancroft, Betty Compson, Olga Baclanova, Clyde Cook",A blue-collar worker on New York's depressed waterfront finds his life changed after he saves a woman attempting suicide.,English,USA,2 wins.,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MDMxNTM5NF5BMl5BanBnXkFtZTYwOTU4OTU5._V1._CR3,52,253,422_UX182_CR0,0,182,268_AL_.jpg",N/A,7.7,"2,760","Docks of New York, The"
tt0018217,,,,,,TRUE,October (Ten Days that Shook the World),1928,N/A,20-Jan-28,95 min,"Drama, History","Grigori Aleksandrov, Sergei M. Eisenstein","Sergei M. Eisenstein, Grigori Aleksandrov, Boris Agapow (intertitles), John Reed (book)","Nikolay Popov, Vasili Nikandrov, Layaschenko, Chibisov","In documentary style, events in Petrograd are re-enacted from the end of the monarchy in February of 1917 to the end of the provisional government and the decrees of peace and of land in ...",N/A,Soviet Union,1 win.,http://ia.media-imdb.com/images/M/MV5BMjAyMjI2MTgxOF5BMl5BanBnXkFtZTgwMDA2MzUxMjE@._V1_SX300.jpg,N/A,7.5,"4,790",October (Oktyabr)
tt0018806,,,,,,TRUE,The Crowd,1928,NOT RATED,3-Mar-28,98 min,"Drama, Romance",King Vidor,"King Vidor (screen play), John V.A. Weaver (screen play), Joseph Farnham (titles)","Eleanor Boardman, James Murray, Bert Roach, Estelle Clark","The life of a man and woman together in a large, impersonal metropolis through their hopes, struggles and downfalls.",N/A,USA,Nominated for 2 Oscars. Another 1 win.,http://ia.media-imdb.com/images/M/MV5BMTg0OTkxMjQxN15BMl5BanBnXkFtZTgwNTY1MjgwMjE@._V1_SX300.jpg,N/A,8,"5,612","Crowd, The"
tt0019286,,,,,,TRUE,Storm Over Asia,1928,N/A,6-Sep-30,74 min,"Drama, War",Vsevolod Pudovkin,"Osip Brik, I. Novokshenov (story)","Val_©ry Inkijinoff, I. Dedintsev, Aleksandr Chistyakov, Viktor Tsoppi",In 1918 a simple Mongolian herdsman escapes to the hills after brawling with a western capitalist fur trader who cheats him. In 1920 he helps the partisans fight for the Soviets against the...,Russian,Soviet Union,1 win.,http://ia.media-imdb.com/images/M/MV5BMTg0Mjg5ODAwNV5BMl5BanBnXkFtZTgwMzE3ODgwMjE@._V1_SX300.jpg,N/A,7.3,"1,172",Storm Over Asia (Potomok Chingis-Khana)
